レインコート,raincoat,"I wore a raincoat because it was raining."
引っ張る,to pull,"My daughter pulled my hand."
突き当たる,to reach the end,"Turn right when you reach the end."
突き当たり,dead end,"This is a dead end."
アイス,ice cream,"I ate ice cream because it was hot."
弾く,to play (an instrument),"He plays the guitar."
丸い,round,"The Earth is round."
丸,circle,"I drew a big circle on the paper."
攻撃,attack,"In 2003, America attacked Iraq."
絶対に,absolutely,"It's absolutely not allowed."
消防車,fire truck,"Four fire trucks came."
嫌,dislike,"I dislike waiting."
大嫌い,hate,"I hate tests."
ウィスキー,whiskey,"This whiskey is strong."
大抵,usually,"I usually have breakfast around 7 o'clock."
大勢,crowd,"We went out to eat as a crowd."
姿,figure / appearance,"I saw her figure in the distance."
姿勢,posture,"That child always has bad posture."
エアメール,airmail,"I sent him an airmail letter."
怖い,scary,"I'm scared of dogs."
糸,thread,"My mother threaded the needle."
孫,grandchild,"My grandchild was born yesterday."
シャープペンシル,mechanical pencil,"I don't have my mechanical pencil."
木綿,cotton,"She's wearing a cotton shirt."
偉い,great / admirable,"He is a great scholar."
爪,nail,"My nails have grown."
机,desk,"I got a new desk."
セロテープ,cellophane tape,"Do you have cellophane tape?"
棚,shelf,"A large shelf is very convenient."
本棚,bookshelf,"This is a very large bookshelf, isn't it?"
方針,policy,"The future policy has been decided."
釣る,to fish,"I caught a big fish yesterday."
やけど,burn,"He burned his hand."
お釣り,change,"My mother checked the change."
鍵,key,"Please lock the door when you leave."
鍋,pot,"There is soup in the pot."
寿司,sushi,"She ate sushi for the first time."
アイスコーヒー,iced coffee,"One iced coffee, please."
泥棒,thief,"A thief broke into the neighborhood."
沸く,to boil,"The bathwater is ready."
沸かす,to boil (something),"Please boil the water."
洗濯機,washing machine,"I bought a new washing machine."
洗濯,laundry,"I haven't done laundry for a week."
濡れる,to get wet,"I got wet in the rain."
喫茶店,café,"I had coffee at a café."
怠ける,to be lazy,"Stop being lazy and help out."
一生懸命,with all one's might,"He works with all his might every day."
休憩,break,"Let's take a short break."
天井,ceiling,"The ceiling in this room is high, isn't it?"
納豆,natto,"I often eat natto."
化粧,makeup,"She is good at makeup."
畑,field,"My mother enjoys fieldwork."
炊く,to cook,"My mother cooks rice every morning."
ウェートレス,waitress,"I called the waitress."
自炊,cooking for oneself,"I cook for myself every day."
灰皿,ashtray,"Please bring me an ashtray."
灰,ash,"Everything turned to ash in the fire."
灰色,gray,"The sky is gray today."
西暦,Gregorian calendar,"The Tokyo Olympics were held in 1964."
毛,hair / fur,"Cat hair is on the sweater."
髪,hair,"I cut my hair yesterday."
舌,tongue,"Please stick out your tongue."
くし,comb,"He combed his hair with a comb."
臭い,smelly,"It smells unpleasant here."
匂い,fragrance,"It smells nice."
居る,to be (people),"There is no woman like you."
履く,"to wear (shoes, pants etc.)","She is wearing boots."
クリーニング,cleaning,"I sent my suit to the cleaners."
扇風機,electric fan,"It's hot, so let's turn on the fan."
豚,pig,"Pigs have a very keen sense of smell."
豚肉,pork,"Pork is delicious."
ごちそう,feast,"There is a feast set on the table."
鶏,chicken,"The chicken crows every morning."
腕時計,wristwatch,"My wristwatch is running late."
お菓子,sweets,"Let's give everyone some sweets."
お辞儀,bow,"Everyone bowed to the boss."
ごちそうする,to treat someone,"I'll treat you to dinner tonight."
寝坊,oversleeping,"I overslept this morning."
旗,flag,"The flag is waving in the wind."
鉛筆,pencil,"Please lend me a pencil."
万年筆,fountain pen,"I gave my father a fountain pen as a present."
こぼれる,to spill,"Tears spilled from her eyes."
箱,box,"This box is heavy."
本箱,bookshelf,"I put the magazines in the bookshelf."
手袋,gloves,"It's cold, so I put on gloves."
袋,bag,"I don't need a bag."
財布,wallet,"I forgot my wallet at the office."
毛布,blanket,"This blanket is warm."
布団,futon,"My mother is airing out the futons."
小包,parcel,"A parcel from a friend in France arrived."
ざあざあ,pouring (rain),"The rain is pouring heavily."
包む,to wrap,"I wrapped the gift in pretty paper."
飾る,to decorate,"I decorated the table with flowers."
手帳,notebook,"I bought a new notebook."
電話帳,phone book,"Please show me the phone book."
ジャガイモ,potato,"I'm making potato salad, so please buy some potatoes."
牛乳,milk,"I drink milk every morning."
玄関,entrance,"I decorated the entrance with flowers."
眼鏡,glasses,"He is wearing glasses."
眠い,sleepy,"I am very sleepy today."
ソファー,sofa,"This sofa is comfortable."
眠る,to sleep,"I slept for 8 hours yesterday."
封筒,envelope,"I put the letter into an envelope."
出掛ける,to go out,"My husband has already gone out."
掛かる,to hang,"A big clock is hanging on the wall."
たばこ,cigarette,"He doesn't smoke cigarettes."
掛け算,multiplication,"My younger brother is learning multiplication."
拍手,applause,"There was loud applause."
掃除,cleaning,"I cleaned my room over the weekend."
掃く,to sweep,"I swept the floor with a broom."
ちょうど,just,"The price is just 30,000 yen."
掃除機,vacuum cleaner,"The vacuum cleaner broke."
握る,to hold,"The girl held her mother's hand."
握手,handshake,"They shook hands."
迎える,to pick up,"My sister will pick me up at the airport."
ちょっと,a little,"Add a little more salt."
幾つ,how many/old,"How old is your daughter now?"
幾ら,how much,"No matter how much I called, he didn't answer."
冗談,joke,"Please stop joking."
つく,to be on,"The light in the room is on."
穴,hole,"There is a hole in my socks."
寂しい,lonely/sad,"This is a sad song, isn't it?"
丁寧,polite,"She always works very politely."
可哀相,pitiful,"These pitiful children have nothing to eat."
てんぷら,tempura,"I like shrimp tempura."
怪我,injury,"She injured her arm."
我慢,patience,"I can't tolerate his selfishness anymore."
幼稚園,kindergarten,"My daughter attends kindergarten."
とんとん,"light tapping","I lightly tapped my mother's shoulder."
日陰,"shade","It's hot, let's rest in the shade."
随分,"quite","That ended quite quickly, didn't it?"
頑張る,"to do one's best","Good luck with the exam tomorrow!"
にんじん,"carrots","I don't like carrots."
この頃,"recently","Recently, I often have stiff shoulders."
消防署,"fire station","This town only has one fire station."
尋ねる,"to ask","She asked for directions."
缶詰,"canned food","Canned fruits are very sweet."
ぬるい,"lukewarm","The bath was lukewarm."
缶,"can","The coffee is in that can."
豆腐,"tofu","I eat tofu every day."
床,"floor","The floor is wet."
パーセント,"percent","80 percent of the village are elderly."
床屋,"barber","I got my hair cut at the barber's yesterday."
畳,"tatami","That hotel has tatami rooms."
畳む,"to fold","Please fold the futons."
干す,"to dry","My mother is drying the laundry."
ひざ,"knee","I injured my knee while skiing."
帽子,"hat","It's hot, so let's wear hats."
是非,"definitely","Please come to our house, definitely."
敬語,"honorific language","Use honorific language for customers."
尊敬,"respect","My grandfather is respected by the whole family."
ひじ,"elbow","He injured his elbow."
敷く,"to spread out","I laid out futons for the first time."
雷,"thunder","It's thundering now."
零,"zero","It's exactly midnight now."
仕舞う,"to put away","She put important documents in the desk."
ひも,"string","The shoelace snapped."
踊る,"to dance","She likes dancing in clubs."
踊り,"dance","This dance is easy."
踏む,"to step on","The driver stepped on the brakes."
踏切,"railroad crossing","This railroad crossing takes a long time."
まく,"to sow","I sowed flower seeds in the garden."
蹴る,"to kick","The goalkeeper kicked the ball."
食堂,"cafeteria","The university cafeteria is cheap."
猫,"cat","I love cats."
文章,"text","He is very good at writing texts."
やかん,"kettle","I boiled water in the kettle."
丈夫,"sturdy","My grandmother is physically sturdy."
又,"again","I will come again tomorrow."
お祖父さん,"grandfather","My grandfather takes a walk every day."
ようこそ,"welcome","Welcome to Japan."
祖父,"grandfather","My grandfather is in good health."
祖母,"grandmother","My grandmother was born in Kyoto."
邪魔,"nuisance","You're in the way, please move."
風邪薬,"cold medicine","Take this cold medicine."
